ID	Question	DBpedia	MusicBrainz	Wikidata	YAGO	LinkedMDB
408	Which museum in New York has the most visitors?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?label WHERE { ?uri rdf:type dbo:Museum ; dbo:location res:New_York_City ; dbo:numberOfVisitors ?num ; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) } GROUP BY ?label ORDER BY DESC(?num) OFFSET 0 LIMIT 1	X	SELECT DISTINCT ?itemLabel WHERE { {?item wdt:P31* wd:Q207694} UNION {?item wdt:P31* wd:Q33506 .} ?item wdt:P131 ?location . ?item wdt:P1174 ?num . ?location wdt:P131 wd:Q60 . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } } ORDER BY DESC(?num) OFFSET 0 LIMIT 1		X
						
383	Show me the book that Muhammad Ali wrote.	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?label WHERE { ?uri rdf:type dbo:Book ; dbo:author res:Muhammad_Ali; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { ?item wdt:P31* wd:Q571 ; wdt:P50 wd:Q36107 . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }		X
192	Who is the king of the Netherlands?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?label WHERE { res:Netherlands dbo:leader ?uri . ?uri rdf:type dbo:Royalty; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { ?item wdt:P39 wd:Q2045066 . wd:Q55 wdt:P35 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }		X
91	Give me all the TV shows with Neil Patrick Harris.	SELECT DISTINCT ?label WHERE { ?uri a <http://dbpedia.org/ontology/TelevisionShow> ; <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Neil_Patrick_Harris>; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" )  }	X	SELECT DISTINCT ?itemLabel WHERE { ?item wdt:P31* wd:Q5398426 ; wdt:P161 wd:Q485310 . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }		SELECT DISTINCT ?label WHERE { ?uri a <http://data.linkedmdb.org/resource/movie/film> . ?uri <http://data.linkedmdb.org/resource/movie/actor> <http://data.linkedmdb.org/resource/actor/33607> . ?uri rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "" ) }
73	Give me all ESA astronauts.	SELECT DISTINCT ?label WHERE { ?uri a <http://dbpedia.org/ontology/Astronaut> ; <http://dbpedia.org/property/type> <http://dbpedia.org/resource/European_Space_Agency>; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" )  }	X	SELECT DISTINCT ?itemLabel WHERE { ?item wdt:P106 wd:Q11631 ; wdt:P108 wd:Q42262 . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }		X
332	Which city has the least inhabitants?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?label WHERE { ?uri rdf:type dbo:City ; dbo:populationTotal ?pop; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" )  } GROUP BY ?label ORDER BY ASC(?pop) OFFSET 0 LIMIT 1	X	SELECT DISTINCT ?itemLabel WHERE { ?item wdt:P31* wd:Q515; wdt:P1082 ?pop . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } } ORDER BY ASC(?pop) OFFSET 0 LIMIT 1		X
167	Which rockets were launched from Baikonur?	SELECT DISTINCT ?label WHERE { ?uri a <http://dbpedia.org/ontology/Rocket> ; <http://dbpedia.org/ontology/launchSite> <http://dbpedia.org/resource/Baikonur_Cosmodrome>; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	X		X
390	In which films did Julia Roberts as well as Richard Gere play?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?label WHERE { ?uri rdf:type dbo:Film ; dbo:starring res:Julia_Roberts ; dbo:starring res:Richard_Gere; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { ?item wdt:P31 wd:Q11424 . ?item wdt:P161 wd:Q40523; wdt:P161 wd:Q48410 . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }		PREFIX lmdbm: <http://data.linkedmdb.org/resource/movie/>  PREFIX lmdba: <http://data.linkedmdb.org/resource/actor/>  SELECT DISTINCT ?label WHERE { ?uri a lmdbm:film ;  lmdbm:actor lmdba:29532 ;  lmdbm:actor lmdba:30457; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "" ) }
46	Show a list of soccer clubs that play in the Bundesliga.	SELECT DISTINCT ?label WHERE { ?uri a <http://dbpedia.org/ontology/SoccerClub> ; <http://dbpedia.org/ontology/league> <http://dbpedia.org/resource/Bundesliga>; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { ?item wdt:P31 wd:Q476028 . ?item wdt:P118 wd:Q82595 . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }		X
393	What are the five boroughs of New York?	PREFIX dbo: <http://dbpedia.org/ontology/> SELECT DISTINCT ?label WHERE { ?uri dbo:governmentType <http://dbpedia.org/resource/Borough_(New_York_City)>; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" )  }	X	SELECT DISTINCT ?itemLabel WHERE { ?item wdt:P31 wd:Q408804 . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }		X
						
88	Which music albums contain the song Last Christmas?	SELECT DISTINCT ?label WHERE { ?single <http://dbpedia.org/ontology/album> ?uri ; <http://www.w3.org/2000/01/rdf-schema#label> "Last Christmas"@en; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	not too sure about this one: PREFIX purlo: <http://purl.org/ontology/mo/> PREFIX purl: <http://purl.org/dc/elements/1.1/> SELECT DISTINCT ?t WHERE { ?release a purlo:Release . ?release purl:title ?t . ?release purlo:record ?rec . ?rec purlo:track ?track . ?track purlo:publication_of ?song . ?song a purlo:Signal . ?song purl:title ?st . FILTER( strStarts(lcase(str(?st)), 'last christmas') ) }	SELECT DISTINCT ?itemLabel WHERE { ?single wdt:P361 ?item . ?single ?label "Last Christmas"@en . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }		X
247	In which programming language is GIMP written?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?label WHERE { res:GIMP dbo:programmingLanguage ?uri; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { wd:Q8038 wdt:P277 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }		X
406	In which countries do people speak Japanese?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?label WHERE { ?uri rdf:type dbo:Country ; dbo:language res:Japanese_language; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { ?item wdt:P31* wd:Q6256 . ?item wdt:P37 wd:Q5287 . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }		X
145	Show me all English Gothic buildings in Kent.	SELECT ?label WHERE { ?uri a <http://dbpedia.org/ontology/Building> ; <http://dbpedia.org/ontology/architecturalStyle> <http://dbpedia.org/resource/English_Gothic_architecture> ; <http://dbpedia.org/ontology/location> <http://dbpedia.org/resource/Kent>; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { ?item wdt:P149 wd:Q750752 . ?item wdt:P131 wd:Q23298 . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }		X
295	Give me all video games published by Mean Hamster Software.	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?label WHERE { ?uri rdf:type dbo:VideoGame ; dbo:publisher res:Mean_Hamster_Software; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { ?item wdt:P123 wd:Q15070395 . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }		X
237	Where is Sungkyunkwan University?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT DISTINCT ?label WHERE { dbr:Sungkyunkwan_University dbo:city ?city ; dbo:country ?country; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) }	X	SELECT DISTINCT ?itemLabel WHERE { wd:Q41085 wdt:P131 ?item . SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }		X
306	Who is the tallest basketball player?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?label WHERE { ?uri rdf:type dbo:BasketballPlayer ; dbo:height ?num; rdfs:label ?label. FILTER langMatches( lcase(lang(?label)), "en" ) } GROUP BY ?label ORDER BY DESC(?num) OFFSET 0 LIMIT 1	X	SELECT DISTINCT ?itemLabel WHERE { ?item wdt:P106 wd:Q3665646 . ?item wdt:P2048 ?num SERVICE wikibase:label { bd:serviceParam wikibase:language "[AUTO_LANGUAGE],en". } }ORDER BY DESC(?num) OFFSET 0 LIMIT 1		X
